seatno,slot 1 7:00 to 11:00 Am,slot 2 11:00 to 5:00 Pm,slot 3 5:00 to 9:00 Pm
18,avl,res,avl
19,avl,res,avl
20,avl,res,avl
21,avl,res,avl
22,avl,res,avl
23,avl,res,avl
24,avl,res,avl
25,avl,res,avl
26,avl,res,avl
27,avl,res,avl
28,avl,res,avl
29,avl,res,avl
